gamePk,date,team,player_id,full_name,position,shots,goals,saves
2025020791,2026-01-21,Pittsburgh Penguins,8471724,Kris Letang,D,3,0,0
2025020791,2026-01-21,Pittsburgh Penguins,8478854,Ryan Shea,D,1,1,0
2025020791,2026-01-21,Pittsburgh Penguins,8482470,Ilya Solovyov,D,4,1,0
2025020791,2026-01-21,Pittsburgh Penguins,8481030,Jack St. Ivany,D,1,0,0
2025020791,2026-01-21,Pittsburgh Penguins,8478450,Parker Wotherspoon,D,0,0,0
2025020791,2026-01-21,Pittsburgh Penguins,8481668,Arturs Silovs,G,0,0,0
2025020791,2026-01-21,Pittsburgh Penguins,8479973,Stuart Skinner,G,0,0,27
2025020793,2026-01-21,Seattle Kraken,8482665,Matty Beniers,F,4,0,0
2025020793,2026-01-21,Seattle Kraken,8484800,Berkly Catton,F,1,0,0
2025020793,2026-01-21,Seattle Kraken,8474586,Jordan Eberle,F,1,0,0
2025020793,2026-01-21,Seattle Kraken,8477919,Frederick Gaudreau,F,3,0,0
2025020793,2026-01-21,Seattle Kraken,8481554,Kaapo Kakko,F,1,0,0
2025020793,2026-01-21,Seattle Kraken,8481789,Tye Kartye,F,0,0,0
2025020793,2026-01-21,Seattle Kraken,8477955,Jared McCann,F,0,0,0
2025020793,2026-01-21,Seattle Kraken,8482874,Jacob Melanson,F,3,0,0
2025020793,2026-01-21,Seattle Kraken,8483570,Ben Meyers,F,2,1,0
2025020793,2026-01-21,Seattle Kraken,8475768,Jaden Schwartz,F,1,1,0
2025020793,2026-01-21,Seattle Kraken,8476905,Chandler Stephenson,F,0,0,0
2025020793,2026-01-21,Seattle Kraken,8480009,Eeli Tolvanen,F,1,1,0
2025020793,2026-01-21,Seattle Kraken,8482751,Ryan Winterton,F,0,0,0
2025020793,2026-01-21,Seattle Kraken,8483524,Shane Wright,F,0,0,0
2025020793,2026-01-21,Seattle Kraken,8478407,Vince Dunn,D,0,0,0
2025020793,2026-01-21,Seattle Kraken,8482858,Ryker Evans,D,2,0,0
