date,player,team,opp,market,line,proj,p_over,p_under,p_push,over_price,under_price,book,side,price,ev,prob,chosen_prob,edge_score,edge_reasons,edge_drivers,proj_lambda
2026-03-17,Eeli Tolvanen,SEA,TBL,SOG,1.5,2.067,0.6119,0.3880906475403626,0.0,-142,110,draftkings,Over,-142,0.04283143165656511,0.6119093524596374,0.6119093524596374,0.44751877900062803,JUICE · MODEL OVR · CONF60+ · CONS3+ · B2B · MATCHUP+,JUICE · MODEL OVR · CONF60+ · CONS3+ · B2B · MATCHUP+,2.067
2026-03-17,Andrei Svechnikov,CAR,CBJ,POINTS,0.5,1.232,0.7083,0.29174537227472763,0.0,-182,140,draftkings,Over,-182,0.09740552207981767,0.7082546277252724,0.7082546277252724,0.44647094659809233,JUICE+ · MODEL OVR · CONF60+ · CONS3+ · MATCHUP-,JUICE+ · MODEL OVR · CONF60+ · CONS3+ · MATCHUP-,1.232
2026-03-17,Ryan Nugent-Hopkins,EDM,SJS,SOG,1.5,2.321,0.674,0.3259939589601142,0.0,-198,150,draftkings,Over,-198,0.014413132474171697,0.6740060410398858,0.6740060410398858,0.4463529620290355,JUICE+ · MODEL OVR · CONF60+ · CONS3+ · B2B,JUICE+ · MODEL OVR · CONF60+ · CONS3+ · B2B,2.321
2026-03-17,William Eklund,SJS,EDM,SOG,1.5,2.441,0.7004,0.29964023300587406,0.0,-198,150,fanduel,Over,-198,0.054076821031563416,0.7003597669941259,0.7003597669941259,0.4462104184084378,JUICE+ · MODEL OVR · CONF60+ · SINGLE,JUICE+ · MODEL OVR · CONF60+ · SINGLE,2.441
2026-03-17,Ivan Demidov,MTL,BOS,SOG,1.5,2.316,0.6729,0.3271143174576008,0.0,-168,130,draftkings,Over,-168,0.07341287453192263,0.6728856825423992,0.6728856825423992,0.44545667523104626,JUICE+ · MODEL OVR · CONF60+ · CONS2,JUICE+ · MODEL OVR · CONF60+ · CONS2,2.316
2026-03-17,Kyle Connor,WPG,NSH,ASSISTS,0.5,0.37,0.3091,0.6908708843764333,0.0,-125,-105,betmgm,Under,-105,0.34884315521113163,0.6908708843764333,0.6908708843764333,0.4444399554284063,MODEL UND · CONF60+ · CONS3+,MODEL UND · CONF60+ · CONS3+,0.37
2026-03-17,Brock Faber,MIN,CHI,SOG,1.5,2.384,0.688,0.31201712016538985,0.0,-160,122,fanduel,Over,-160,0.11797217973124152,0.6879828798346102,0.6879828798346102,0.44279308533639056,JUICE+ · MODEL OVR · CONF60+ · CONS4+,JUICE+ · MODEL OVR · CONF60+ · CONS4+,2.384
2026-03-17,Tomas Hertl,VGK,BUF,POINTS,0.5,0.472,0.3764,0.6235612530163053,0.0,-120,-110,betmgm,Under,-110,0.19043511939476465,0.6235612530163053,0.6235612530163053,0.4427400914045916,MODEL UND · CONF60+ · CONS2 · MATCHUP+,MODEL UND · CONF60+ · CONS2 · MATCHUP+,0.472
2026-03-17,Mattias Ekholm,EDM,SJS,POINTS,0.5,0.95,0.6134,0.38662544175963365,0.0,146,-197,pinnacle,Over,146,0.5089014132713012,0.6133745582403664,0.6133745582403664,0.4417073718113847,JUICE · MODEL OVR · CONF60+ · CONS3+ · B2B · MATCHUP+,JUICE · MODEL OVR · CONF60+ · CONS3+ · B2B · MATCHUP+,0.95
2026-03-17,Charlie McAvoy,BOS,MTL,ASSISTS,0.5,0.334,0.2842,0.7157676752663626,0.0,-112,-118,pinnacle,Under,-118,0.3223504509158225,0.7157676752663626,0.7157676752663626,0.4402578765490957,MODEL UND · CONF60+ · CONS2 · B2B · MATCHUP-,MODEL UND · CONF60+ · CONS2 · B2B · MATCHUP-,0.334
2026-03-17,Adam Pelech,NYI,TOR,SOG,1.5,1.897,0.5654,0.43455076102309553,0.0,-105,-130,betmgm,Over,-105,0.10397232371681342,0.5654492389769045,0.5654492389769045,0.43980041765002537,MODEL OVR · CONF55+ · CONS3+ · MATCHUP+,MODEL OVR · CONF55+ · CONS3+ · MATCHUP+,1.897
2026-03-17,Luke Evangelista,NSH,WPG,SOG,1.5,2.324,0.6747,0.32532848370775813,0.0,-154,120,draftkings,Over,-154,0.11276990349499633,0.6746715162922419,0.6746715162922419,0.4370527301809463,JUICE · MODEL OVR · CONF60+ · CONS3+ · B2B,JUICE · MODEL OVR · CONF60+ · CONS3+ · B2B,2.324
2026-03-17,William Nylander,TOR,NYI,ASSISTS,0.5,0.466,0.3723,0.6276712457938203,0.0,-135,100,betmgm,Under,100,0.25534249158764055,0.6276712457938203,0.6276712457938203,0.43325293738427606,MODEL UND · CONF60+ · CONS3+ · MATCHUP+,MODEL UND · CONF60+ · CONS3+ · MATCHUP+,0.466
2026-03-17,Vasily Podkolzin,EDM,SJS,SOG,1.5,2.227,0.6519,0.348067714275217,0.0,-127,-104,pinnacle,Over,-127,0.16526479416949402,0.651932285724783,0.651932285724783,0.4286939577769533,MODEL OVR · CONF60+ · CONS3+ · B2B,MODEL OVR · CONF60+ · CONS3+ · B2B,2.227
2026-03-17,Mattias Ekholm,EDM,SJS,ASSISTS,0.5,0.902,0.5943,0.4057133629686698,0.0,182,-251,pinnacle,Over,182,0.6758883164283513,0.5942866370313302,0.5942866370313302,0.42830993554603813,JUICE+ · MODEL OVR · CONF55+ · CONS3+ · B2B · MATCHUP+,JUICE+ · MODEL OVR · CONF55+ · CONS3+ · B2B · MATCHUP+,0.902
2026-03-17,Matias Maccelli,TOR,NYI,SOG,1.5,2.207,0.6471,0.3528526900118685,0.0,-165,125,betmgm,Over,-165,0.03935780089002938,0.6471473099881315,0.6471473099881315,0.42649644558683014,JUICE+ · MODEL OVR · CONF60+ · CONS4+,JUICE+ · MODEL OVR · CONF60+ · CONS4+,2.207
2026-03-17,Carter Verhaeghe,FLA,VAN,SOG,2.5,3.301,0.6408,0.359164297315283,0.0,-115,-115,draftkings,Over,-115,0.19808413980186212,0.640835702684717,0.640835702684717,0.4263070310803226,MODEL OVR · CONF60+ · CONS3+ · B2B,MODEL OVR · CONF60+ · CONS3+ · B2B,3.301
2026-03-17,Joel Eriksson Ek,MIN,CHI,POINTS,0.5,0.427,0.3477,0.6523050848800382,0.0,-140,105,betmgm,Under,105,0.3372254240040783,0.6523050848800382,0.6523050848800382,0.4255810817329185,MODEL UND · CONF60+ · CONS3+,MODEL UND · CONF60+ · CONS3+,0.427
2026-03-17,Charlie Coyle,CBJ,CAR,POINTS,0.5,1.08,0.6605,0.3395065007540261,0.0,-135,105,draftkings,Over,-135,0.14974794313188045,0.6604934992459739,0.6604934992459739,0.4246577855678913,JUICE · MODEL OVR · CONF60+ · CONS3+,JUICE · MODEL OVR · CONF60+ · CONS3+,1.08
2026-03-17,Filip Hronek,VAN,FLA,SOG,1.5,2.095,0.619,0.381004881160813,0.0,106,-141,pinnacle,Over,106,0.2751299448087253,0.618995118839187,0.618995118839187,0.4244491164522553,MODEL OVR · CONF60+ · CONS3+ · MATCHUP+,MODEL OVR · CONF60+ · CONS3+ · MATCHUP+,2.095
