date,player,team,market,line,proj,p_over,over_price,under_price,book,side,ev,proj_lambda,ev_over
2026-02-01,Drew Doughty,LAK,ASSISTS,0.5,0.0,0.0,250,-350,betmgm,Under,0.2856868141377212,0.0,0.2856868141377212
2026-02-01,Pavel Dorofeyev,VGK,SOG,2.5,3.771,0.6872,-115,-113,fanduel,Over,0.28470327187196154,3.771,0.28470327187196154
2026-02-01,Nikolaj Ehlers,CAR,SOG,2.5,3.089,0.5571,130,-175,pinnacle,Over,0.2813958732230398,3.089,0.2813958732230398
2026-02-01,Nikolaj Ehlers,CAR,SOG,2.5,3.089,0.5571,130,-168,draftkings,Over,0.2813958732230398,3.089,0.2813958732230398
2026-02-01,Shayne Gostisbehere,CAR,SOG,1.5,3.112,0.817,-176,134,fanduel,Over,0.2811451374254378,3.112,0.2811451374254378
2026-02-01,Troy Terry,ANA,SOG,1.5,2.819,0.7722,-152,116,fanduel,Over,0.280219250337862,2.819,0.280219250337862
2026-02-01,Mitch Marner,VGK,POINTS,0.5,0.848,0.5258,-225,170,draftkings,Under,0.28021488538915273,0.848,0.28021488538915273
2026-02-01,Brandt Clarke,LAK,SOG,1.5,2.365,0.6839,-115,-115,draftkings,Over,0.27851308968239163,2.365,0.27851308968239163
2026-02-01,Brandt Clarke,LAK,SOG,1.5,2.365,0.6839,-115,-118,betmgm,Over,0.27851308968239163,2.365,0.27851308968239163
2026-02-01,Troy Terry,ANA,SOG,1.5,2.819,0.7722,-154,120,draftkings,Over,0.2736215423893057,2.819,0.2736215423893057
2026-02-01,David Pastrnak,BOS,GOALS,0.5,0.174,0.151,145,-200,fanduel,Under,0.273509384013381,0.174,0.273509384013381
2026-02-01,Fraser Minten,BOS,ASSISTS,0.5,0.465,0.3632,250,-350,draftkings,Over,0.27103704552149144,0.465,0.27103704552149144
2026-02-01,Troy Terry,ANA,SOG,1.5,2.819,0.7722,-155,115,betmgm,Over,0.2703865372016264,2.819,0.2703865372016264
2026-02-01,Brandt Clarke,LAK,ASSISTS,0.5,0.635,0.4441,186,-257,pinnacle,Over,0.2702571810410499,0.635,0.2702571810410499
2026-02-01,Drew Doughty,LAK,ASSISTS,0.5,0.0,0.0,260,-370,draftkings,Under,0.2702431286826134,0.0,0.2702431286826134
2026-02-01,Corey Perry,LAK,SOG,1.5,2.085,0.6166,106,-142,pinnacle,Over,0.27014580037415825,2.085,0.27014580037415825
2026-02-01,Yanni Gourde,TBL,POINTS,0.5,0.764,0.4977,155,-210,betmgm,Over,0.26904223447629294,0.764,0.26904223447629294
2026-02-01,Charlie McAvoy,BOS,SOG,1.5,2.091,0.618,105,-135,draftkings,Over,0.2669858182935849,2.091,0.2669858182935849
2026-02-01,Shayne Gostisbehere,CAR,SOG,1.5,3.112,0.817,-182,140,draftkings,Over,0.26584240047577884,3.112,0.26584240047577884
2026-02-01,Corey Perry,LAK,SOG,1.5,2.085,0.6166,105,-140,betmgm,Over,0.2639800440616622,2.085,0.2639800440616622
2026-02-01,Corey Perry,LAK,SOG,1.5,2.085,0.6166,105,-135,draftkings,Over,0.2639800440616622,2.085,0.2639800440616622
2026-02-01,Brandt Clarke,LAK,SOG,1.5,2.365,0.6839,-118,-110,fanduel,Over,0.26339468499556795,2.365,0.26339468499556795
2026-02-01,Troy Terry,ANA,SOG,1.5,2.819,0.7722,-158,118,pinnacle,Over,0.2609272182351215,2.819,0.2609272182351215
2026-02-01,Charlie McAvoy,BOS,SOG,1.5,2.091,0.618,104,-138,pinnacle,Over,0.2608053996677626,2.091,0.2608053996677626
2026-02-01,Jackson Blake,CAR,POINTS,0.5,0.911,0.5455,131,-175,pinnacle,Over,0.26012419483095994,0.911,0.26012419483095994
2026-02-01,Nikolaj Ehlers,CAR,SOG,2.5,3.089,0.5571,126,-165,fanduel,Over,0.25911072760176956,3.089,0.25911072760176956
2026-02-01,Shayne Gostisbehere,CAR,SOG,1.5,3.112,0.817,-185,135,betmgm,Over,0.25856326073756275,3.112,0.25856326073756275
2026-02-01,Mitch Marner,VGK,POINTS,0.5,0.848,0.5258,-225,165,betmgm,Under,0.25650720232639057,0.848,0.25650720232639057
