team,player_id,player,market,value,count,n_sims,game_home,game_away,date,period
Winnipeg Jets,8476480,,SAVES,0.0,6000,6000,Boston Bruins,Winnipeg Jets,2026-03-19,0
Winnipeg Jets,8476525,,SOG,5.0,178,6000,Boston Bruins,Winnipeg Jets,2026-03-19,0
Winnipeg Jets,8476525,,GOALS,0.0,5425,6000,Boston Bruins,Winnipeg Jets,2026-03-19,0
Winnipeg Jets,8476525,,ASSISTS,0.0,4903,6000,Boston Bruins,Winnipeg Jets,2026-03-19,0
Winnipeg Jets,8476525,,POINTS,0.0,4423,6000,Boston Bruins,Winnipeg Jets,2026-03-19,0
Winnipeg Jets,8476525,,BLOCKS,1.0,2151,6000,Boston Bruins,Winnipeg Jets,2026-03-19,0
Winnipeg Jets,8476525,,SAVES,0.0,6000,6000,Boston Bruins,Winnipeg Jets,2026-03-19,0
Winnipeg Jets,8480049,,SOG,0.0,925,6000,Boston Bruins,Winnipeg Jets,2026-03-19,0
Winnipeg Jets,8480049,,GOALS,0.0,5416,6000,Boston Bruins,Winnipeg Jets,2026-03-19,0
Winnipeg Jets,8480049,,ASSISTS,0.0,4517,6000,Boston Bruins,Winnipeg Jets,2026-03-19,0
Winnipeg Jets,8480049,,POINTS,0.0,4090,6000,Boston Bruins,Winnipeg Jets,2026-03-19,0
Winnipeg Jets,8480049,,BLOCKS,2.0,1529,6000,Boston Bruins,Winnipeg Jets,2026-03-19,0
Winnipeg Jets,8480049,,SAVES,0.0,6000,6000,Boston Bruins,Winnipeg Jets,2026-03-19,0
Boston Bruins,8479999,,SOG,1.0,2121,6000,Boston Bruins,Winnipeg Jets,2026-03-19,0
Boston Bruins,8479999,,GOALS,0.0,4991,6000,Boston Bruins,Winnipeg Jets,2026-03-19,0
Boston Bruins,8479999,,ASSISTS,0.0,4861,6000,Boston Bruins,Winnipeg Jets,2026-03-19,0
Boston Bruins,8479999,,POINTS,0.0,4030,6000,Boston Bruins,Winnipeg Jets,2026-03-19,0
