date,player,team,opp,market,line,proj_lambda,lam_scale_mean,p_over,side,chosen_prob
2026-01-12,Alexis Lafrenière,NYR,SEA,BLOCKS,3.5,0.5459,0.997,0.013121,Under,0.986879
2026-01-12,Taylor Hall,CAR,DET,BLOCKS,2.5,0.328,0.9983,0.013151,Under,0.986849
2026-01-12,Timo Meier,NJD,MIN,BLOCKS,3.5,0.5447,1.0052,0.013619,Under,0.986381
2026-01-12,Brock Nelson,COL,TOR,BLOCKS,3.5,0.5583,0.9943,0.01371,Under,0.98629
2026-01-12,Ryan Nugent-Hopkins,EDM,CHI,BLOCKS,2.5,0.3328,0.9937,0.013887,Under,0.986113
2026-01-12,Brayden Point,TBL,PHI,BLOCKS,2.5,0.3311,1.0004,0.014171,Under,0.985829
2026-01-12,Nikita Kucherov,TBL,PHI,BLOCKS,2.5,0.3311,1.0004,0.014171,Under,0.985829
2026-01-12,Matthew Knies,TOR,COL,BLOCKS,1.5,0.1415,1.0018,0.014339,Under,0.985661
2026-01-12,Bobby McMann,TOR,COL,BLOCKS,3.5,0.564,1.0018,0.014368,Under,0.985632
2026-01-12,Nikolaj Ehlers,CAR,DET,BLOCKS,1.5,0.1444,0.9983,0.014782,Under,0.985218
2026-01-12,Evan Rodrigues,FLA,BUF,BLOCKS,3.5,0.5747,0.9924,0.014939,Under,0.985061
2026-01-12,Conor Garland,VAN,MTL,BLOCKS,3.5,0.5662,1.0037,0.014994,Under,0.985006
2026-01-12,Noah Cates,PHI,TBL,BLOCKS,3.5,0.5575,1.0104,0.01508,Under,0.98492
2026-01-12,Vincent Trocheck,NYR,SEA,BLOCKS,3.5,0.5759,0.997,0.015151,Under,0.984849
2026-01-12,William Nylander,TOR,COL,BLOCKS,2.5,0.3493,1.0018,0.015366,Under,0.984634
2026-01-12,Adrian Kempe,LAK,DAL,BLOCKS,2.5,0.3503,0.9974,0.015396,Under,0.984604
2026-01-12,Kasperi Kapanen,EDM,CHI,BLOCKS,3.5,0.5765,0.9937,0.015398,Under,0.984602
2026-01-12,Sebastian Aho,CAR,DET,BLOCKS,2.5,0.3523,0.9983,0.015515,Under,0.984485
2026-01-12,Oliver Kapanen,MTL,VAN,BLOCKS,3.5,0.5765,1.0004,0.015599,Under,0.984401
2026-01-12,Matias Maccelli,TOR,COL,BLOCKS,2.5,0.3624,1.0018,0.016705,Under,0.983295
2026-01-12,Arseny Gritsyuk,NJD,MIN,BLOCKS,2.5,0.3587,1.0052,0.016813,Under,0.983187
2026-01-12,Kevin Fiala,LAK,DAL,BLOCKS,3.5,0.6014,0.9974,0.016896,Under,0.983104
2026-01-12,Ivan Demidov,MTL,VAN,BLOCKS,3.5,0.595,1.0004,0.016956,Under,0.983044
2026-01-12,Kirill Kaprizov,MIN,NJD,BLOCKS,2.5,0.3636,0.9972,0.01703,Under,0.98297
2026-01-12,Nathan MacKinnon,COL,TOR,BLOCKS,3.5,0.6106,0.9943,0.017366,Under,0.982634
2026-01-12,Jason Robertson,DAL,LAK,BLOCKS,3.5,0.6149,0.9963,0.017847,Under,0.982153
2026-01-12,Sean Couturier,PHI,TBL,BLOCKS,3.5,0.5954,1.0104,0.017897,Under,0.982103
2026-01-12,Dylan Larkin,DET,CAR,BLOCKS,3.5,0.6144,1.0024,0.017947,Under,0.982053
2026-01-12,Darren Raddysh,TBL,PHI,BLOCKS,3.5,0.6031,1.0004,0.018027,Under,0.981973
2026-01-12,Wyatt Johnston,DAL,LAK,BLOCKS,3.5,0.6197,0.9963,0.018214,Under,0.981786
2026-01-12,Sam Bennett,FLA,BUF,BLOCKS,1.5,0.1623,0.9924,0.018273,Under,0.981727
2026-01-12,Oliver Bjorkstrand,TBL,PHI,BLOCKS,3.5,0.6065,1.0004,0.018295,Under,0.981705
2026-01-12,Vladimir Tarasenko,MIN,NJD,BLOCKS,2.5,0.379,0.9972,0.018692,Under,0.981308
2026-01-12,Matty Beniers,SEA,NYR,BLOCKS,2.5,0.3851,1.0023,0.01937,Under,0.98063
2026-01-12,Mats Zuccarello,MIN,NJD,BLOCKS,1.5,0.1774,0.9972,0.021429,Under,0.978571
2026-01-12,K'Andre Miller,CAR,DET,BLOCKS,2.5,0.4082,0.9983,0.021615,Under,0.978385
2026-01-12,Victor Olofsson,COL,TOR,BLOCKS,2.5,0.4102,0.9943,0.021676,Under,0.978324
2026-01-12,J.T. Miller,NYR,SEA,BLOCKS,2.5,0.4082,0.997,0.021795,Under,0.978205
2026-01-12,Jackson Blake,CAR,DET,BLOCKS,2.5,0.4114,0.9983,0.021987,Under,0.978013
2026-01-12,Seth Jarvis,CAR,DET,BLOCKS,2.5,0.4114,0.9983,0.021987,Under,0.978013
2026-01-12,Ross Colton,COL,TOR,BLOCKS,1.5,0.1829,0.9943,0.022166,Under,0.977834
2026-01-12,Martin Necas,COL,TOR,BLOCKS,2.5,0.4174,0.9943,0.022521,Under,0.977479
2026-01-12,Josh Norris,BUF,FLA,BLOCKS,2.5,0.4109,1.0065,0.022743,Under,0.977257
2026-01-12,Mikko Rantanen,DAL,LAK,BLOCKS,3.5,0.6798,0.9963,0.023051,Under,0.976949
2026-01-12,Matt Duchene,DAL,LAK,BLOCKS,3.5,0.68,0.9963,0.023068,Under,0.976932
2026-01-12,Patrick Kane,DET,CAR,BLOCKS,1.5,0.1899,1.0024,0.023998,Under,0.976002
2026-01-12,Andrei Kuzmenko,LAK,DAL,BLOCKS,2.5,0.4286,0.9974,0.024156,Under,0.975844
2026-01-12,Andre Burakovsky,CHI,EDM,BLOCKS,2.5,0.4227,1.0015,0.024228,Under,0.975772
2026-01-12,Evander Kane,VAN,MTL,BLOCKS,1.5,0.1899,1.0037,0.024534,Under,0.9754659999999999
2026-01-12,Tage Thompson,BUF,FLA,BLOCKS,2.5,0.4302,1.0065,0.025152,Under,0.974848
2026-01-12,Mika Zibanejad,NYR,SEA,BLOCKS,3.5,0.7014,0.997,0.025192,Under,0.974808
2026-01-12,Jesper Bratt,NJD,MIN,BLOCKS,2.5,0.4317,1.0052,0.025325,Under,0.974675
2026-01-12,Josh Doan,BUF,FLA,BLOCKS,2.5,0.4349,1.0065,0.025754,Under,0.974246
2026-01-12,Trevor Zegras,PHI,TBL,BLOCKS,2.5,0.4327,1.0104,0.026244,Under,0.973756
2026-01-12,Matvei Michkov,PHI,TBL,BLOCKS,2.5,0.4327,1.0104,0.026244,Under,0.973756
2026-01-12,Christian Dvorak,PHI,TBL,BLOCKS,2.5,0.4327,1.0104,0.026244,Under,0.973756
2026-01-12,Jake DeBrusk,VAN,MTL,BLOCKS,3.5,0.7054,1.0037,0.0264,Under,0.9736
2026-01-12,Kaapo Kakko,SEA,NYR,BLOCKS,1.5,0.2011,1.0023,0.026609,Under,0.973391
2026-01-12,Emmitt Finnie,DET,CAR,BLOCKS,3.5,0.7238,1.0024,0.027154,Under,0.972846
2026-01-12,Jordan Staal,CAR,DET,BLOCKS,3.5,0.732,0.9983,0.027636,Under,0.972364
2026-01-12,Zach Hyman,EDM,CHI,BLOCKS,2.5,0.4537,0.9937,0.027758,Under,0.972242
2026-01-12,Ryan Donato,CHI,EDM,BLOCKS,1.5,0.2062,1.0015,0.02817,Under,0.97183
2026-01-12,Alex Laferriere,LAK,DAL,BLOCKS,3.5,0.7365,0.9974,0.028173,Under,0.971827
2026-01-12,Owen Tippett,PHI,TBL,BLOCKS,2.5,0.4509,1.0104,0.028647,Under,0.971353
2026-01-12,Cole Caufield,MTL,VAN,BLOCKS,1.5,0.2111,1.0004,0.029188,Under,0.970812
2026-01-12,Jake Guentzel,TBL,PHI,BLOCKS,3.5,0.7334,1.0004,0.029294,Under,0.970706
2026-01-12,Zeev Buium,VAN,MTL,BLOCKS,3.5,0.7383,1.0037,0.029505,Under,0.970495
2026-01-12,Eeli Tolvanen,SEA,NYR,BLOCKS,3.5,0.748,1.0023,0.029863,Under,0.970137
2026-01-12,Corey Perry,LAK,DAL,BLOCKS,1.5,0.2191,0.9974,0.030445,Under,0.969555
2026-01-12,Mackie Samoskevich,FLA,BUF,BLOCKS,3.5,0.7599,0.9924,0.030452,Under,0.969548
2026-01-12,Jack Roslovic,EDM,CHI,BLOCKS,1.5,0.2178,0.9937,0.03049,Under,0.96951
2026-01-12,Max Domi,TOR,COL,BLOCKS,2.5,0.4779,1.0018,0.030605,Under,0.969395
2026-01-12,Brock Boeser,VAN,MTL,BLOCKS,2.5,0.4871,1.0037,0.032846,Under,0.967154
2026-01-12,John Tavares,TOR,COL,BLOCKS,1.5,0.2314,1.0018,0.033393,Under,0.966607
2026-01-12,Alex Tuch,BUF,FLA,BLOCKS,3.5,0.7793,1.0065,0.033463,Under,0.966537
2026-01-12,Nico Hischier,NJD,MIN,BLOCKS,3.5,0.7835,1.0052,0.033938,Under,0.966062
2026-01-12,Anthony Cirelli,TBL,PHI,BLOCKS,3.5,0.7807,1.0004,0.033951,Under,0.966049
2026-01-12,Kiefer Sherwood,VAN,MTL,BLOCKS,3.5,0.7834,1.0037,0.034012,Under,0.965988
2026-01-12,Brandon Hagel,TBL,PHI,BLOCKS,1.5,0.2332,1.0004,0.034646,Under,0.965354
2026-01-12,Logan Stankoven,CAR,DET,BLOCKS,1.5,0.2385,0.9983,0.03495,Under,0.96505
2026-01-12,Andrei Svechnikov,CAR,DET,BLOCKS,1.5,0.2385,0.9983,0.03495,Under,0.96505
2026-01-12,Teuvo Teravainen,CHI,EDM,BLOCKS,2.5,0.5102,1.0015,0.036135,Under,0.963865
2026-01-12,Zach Benson,BUF,FLA,BLOCKS,2.5,0.5219,1.0065,0.037846,Under,0.962154
2026-01-12,Connor Bedard,CHI,EDM,BLOCKS,2.5,0.5225,1.0015,0.037946,Under,0.962054
2026-01-12,Jack Quinn,BUF,FLA,BLOCKS,2.5,0.529,1.0065,0.038901,Under,0.961099
2026-01-12,Jared McCann,SEA,NYR,BLOCKS,2.5,0.5339,1.0023,0.038987,Under,0.961013
2026-01-12,Lucas Raymond,DET,CAR,BLOCKS,2.5,0.5379,1.0024,0.03918,Under,0.96082
2026-01-12,Tom Willander,VAN,MTL,BLOCKS,3.5,0.835,1.0037,0.039464,Under,0.9605360000000001
2026-01-12,Sam Reinhart,FLA,BUF,BLOCKS,3.5,0.8561,0.9924,0.040322,Under,0.959678
2026-01-12,Alexis Lafrenière,NYR,SEA,BLOCKS,2.5,0.5459,0.997,0.040353,Under,0.959647
2026-01-12,Dawson Mercer,NJD,MIN,BLOCKS,3.5,0.8477,1.0052,0.040676,Under,0.959324
2026-01-12,Timo Meier,NJD,MIN,BLOCKS,2.5,0.5447,1.0052,0.041107,Under,0.958893
2026-01-12,Brock Nelson,COL,TOR,BLOCKS,2.5,0.5583,0.9943,0.041516,Under,0.958484
2026-01-12,Jaden Schwartz,SEA,NYR,BLOCKS,3.5,0.8667,1.0023,0.04216,Under,0.95784
2026-01-12,Ryan Hartman,MIN,NJD,BLOCKS,3.5,0.8748,0.9972,0.042873,Under,0.957127
2026-01-12,Quinn Hughes,MIN,NJD,BLOCKS,3.5,0.875,0.9972,0.042903,Under,0.957097
2026-01-12,Bobby McMann,TOR,COL,BLOCKS,2.5,0.564,1.0018,0.043001,Under,0.956999
2026-01-12,Matt Boldy,MIN,NJD,BLOCKS,3.5,0.8817,0.9972,0.04363,Under,0.9563699999999999
2026-01-12,Luke Hughes,NJD,MIN,BLOCKS,3.5,0.875,1.0052,0.043679,Under,0.956321
2026-01-12,Jack Hughes,NJD,MIN,BLOCKS,3.5,0.875,1.0052,0.043679,Under,0.956321
2026-01-12,Carter Verhaeghe,FLA,BUF,BLOCKS,1.5,0.2736,0.9924,0.044018,Under,0.955982
2026-01-12,Noah Cates,PHI,TBL,BLOCKS,2.5,0.5575,1.0104,0.044224,Under,0.955776
2026-01-12,Conor Garland,VAN,MTL,BLOCKS,2.5,0.5662,1.0037,0.044667,Under,0.955333
2026-01-12,Evan Rodrigues,FLA,BUF,BLOCKS,2.5,0.5747,0.9924,0.044712,Under,0.955288
2026-01-12,Vincent Trocheck,NYR,SEA,BLOCKS,2.5,0.5759,0.997,0.044915,Under,0.955085
2026-01-12,Kasperi Kapanen,EDM,CHI,BLOCKS,2.5,0.5765,0.9937,0.045541,Under,0.954459
2026-01-12,Oliver Kapanen,MTL,VAN,BLOCKS,2.5,0.5765,1.0004,0.046003,Under,0.953997
2026-01-12,Mavrik Bourque,DAL,LAK,BLOCKS,1.5,0.2853,0.9963,0.04676,Under,0.95324
2026-01-12,Kevin Fiala,LAK,DAL,BLOCKS,2.5,0.6014,0.9974,0.048695,Under,0.951305
2026-01-12,Ivan Demidov,MTL,VAN,BLOCKS,2.5,0.595,1.0004,0.048952,Under,0.951048
2026-01-12,Nathan MacKinnon,COL,TOR,BLOCKS,2.5,0.6106,0.9943,0.049563,Under,0.950437
