date,player,team,opp,market,line,proj_lambda,p_over,over_price,under_price,book,side,price,ev,prob,edge_score,edge_reasons,chosen_prob
2026-03-01,Cole Perfetti,WPG,SJS,ASSISTS,0.5,0.3404,0.258125,165,-218,draftkings,Under,-218,0.07571231192660549,0.737438,0.4606505247020222,p 74%; opp allow 6.00; line 0.5,0.737438
2026-03-01,Matthew Tkachuk,FLA,NYI,POINTS,0.5,0.538,0.357063,-188,145,draftkings,Under,145,0.5814750000000001,0.6455,0.45868819131435423,p 65%; opp allow 7.20; line 0.5,0.6455
2026-03-01,Mason McTavish,ANA,CGY,POINTS,0.5,0.4483,0.316875,-126,-105,pinnacle,Under,-105,0.33298809523809514,0.68275,0.45817417640270597,p 68%; opp allow 8.20; line 0.5,0.68275
2026-03-01,Leo Carlsson,ANA,CGY,POINTS,0.5,0.444,0.31825,-198,150,draftkings,Under,150,0.7,0.6799999999999999,0.45597417640270593,p 68%; opp allow 8.20; line 0.5,0.6799999999999999
2026-03-01,MacKenzie Weegar,CGY,ANA,ASSISTS,0.5,0.4217,0.304063,165,-220,betmgm,Under,-220,0.01227200000000006,0.695937,0.451850483666707,p 70%; opp allow 5.50; line 0.5,0.695937
2026-03-01,Macklin Celebrini,SJS,WPG,ASSISTS,0.5,0.4386,0.31025,-154,120,draftkings,Under,120,0.5134614000000002,0.687937,0.4505028199269557,p 69%; opp allow 5.40; line 0.5,0.687937
2026-03-01,Nazem Kadri,CGY,ANA,ASSISTS,0.5,0.4204,0.303938,140,-182,draftkings,Under,-182,0.0686374505494507,0.6896880000000001,0.446851283666707,p 69%; opp allow 5.50; line 0.5,0.6896880000000001
2026-03-01,Cutter Gauthier,ANA,CGY,ASSISTS,0.5,0.4587,0.326937,150,-198,draftkings,Under,-198,0.00894823232323233,0.6703749999999999,0.4415047740849691,p 67%; opp allow 5.30; line 0.5,0.6703749999999999
2026-03-01,Dylan Guenther,UTA,CHI,ASSISTS,0.5,0.4601,0.314625,150,-200,betmgm,Under,-200,0.0280625000000001,0.6853750000000001,0.4383734948522616,p 69%; opp allow 5.60; line 0.5,0.6853750000000001
2026-03-01,Ryan Hartman,MIN,STL,POINTS,0.5,0.323,0.244375,105,-135,draftkings,Under,-135,0.30609866666666663,0.750312,0.43733737853935634,p 75%; opp allow 10.80; line 0.5,0.750312
2026-03-01,Dylan Holloway,STL,MIN,POINTS,0.5,0.4573,0.315188,115,-150,betmgm,Under,-150,0.14135333333333322,0.684812,0.43028654490461565,p 68%; opp allow 9.10; line 0.5,0.684812
2026-03-01,Robert Thomas,STL,MIN,ASSISTS,0.5,0.4379,0.316563,145,-188,draftkings,Under,-188,0.05319148936170215,0.6875,0.43019344976767865,p 69%; opp allow 5.80; line 0.5,0.6875
2026-03-01,Gabriel Vilardi,WPG,SJS,ASSISTS,0.5,0.4215,0.304,105,-140,betmgm,Under,-140,0.19314285714285717,0.696,0.4275001247020221,p 70%; opp allow 6.00; line 0.5,0.696
