date,team,opponent,is_home,goals_for,goals_against,rest_days,b2b,goals_for_roll10,goals_against_roll10
2023-12-11 01:00:00,Anaheim Ducks,Winnipeg Jets,1,2.0,4.0,2,0,2.0,3.7
2023-12-14 00:30:00,Anaheim Ducks,New York Islanders,0,3.0,4.0,2,0,2.1,3.9
2023-12-16 00:00:00,Anaheim Ducks,New York Rangers,0,1.0,5.0,1,1,2.3,4.0
2023-12-18 00:00:00,Anaheim Ducks,New Jersey Devils,0,5.0,1.0,2,0,2.1,4.1
2023-12-19 00:00:00,Anaheim Ducks,Detroit Red Wings,0,4.0,3.0,1,1,2.4,3.7
2023-12-22 03:00:00,Anaheim Ducks,Calgary Flames,1,0.0,3.0,3,0,2.6,3.2
2023-12-24 01:00:00,Anaheim Ducks,Seattle Kraken,1,2.0,3.0,1,1,2.5,3.2
2023-12-28 03:00:00,Anaheim Ducks,Vegas Golden Knights,1,5.0,2.0,4,0,2.3,3.0
2023-12-30 03:00:00,Anaheim Ducks,Arizona Coyotes,1,0.0,2.0,2,0,2.4,2.9
2024-01-01 01:00:00,Anaheim Ducks,Edmonton Oilers,1,2.0,7.0,1,1,2.2,2.8
2024-01-04 02:00:00,Anaheim Ducks,Toronto Maple Leafs,1,1.0,2.0,3,0,2.4,3.4
2024-01-06 03:00:00,Anaheim Ducks,Winnipeg Jets,1,1.0,3.0,2,0,2.3,3.2
2024-01-08 01:00:00,Anaheim Ducks,Detroit Red Wings,1,2.0,3.0,1,1,2.1,3.1
2024-01-10 01:00:00,Anaheim Ducks,Nashville Predators,0,5.0,3.0,2,0,2.2,2.9
2024-01-12 00:00:00,Anaheim Ducks,Carolina Hurricanes,0,3.0,6.0,1,1,2.2,3.1
2024-01-14 00:00:00,Anaheim Ducks,Tampa Bay Lightning,0,1.0,5.0,2,0,2.1,3.4
2024-01-15 18:00:00,Anaheim Ducks,Florida Panthers,0,5.0,4.0,1,1,2.2,3.6
2024-01-17 00:00:00,Anaheim Ducks,Washington Capitals,0,0.0,2.0,1,1,2.5,3.7
2024-01-21 03:00:00,Anaheim Ducks,San Jose Sharks,0,3.0,5.0,4,0,2.0,3.7
2024-01-22 01:30:00,Anaheim Ducks,New York Rangers,1,2.0,5.0,0,0,2.3,4.0
2024-01-24 03:00:00,Anaheim Ducks,Buffalo Sabres,1,4.0,2.0,2,0,2.3,3.8
2024-01-26 01:00:00,Anaheim Ducks,Dallas Stars,0,3.0,4.0,1,1,2.6,3.8
2024-01-28 02:00:00,Anaheim Ducks,Minnesota Wild,0,3.0,2.0,2,0,2.8,3.9
2024-02-01 03:30:00,Anaheim Ducks,San Jose Sharks,1,3.0,2.0,4,0,2.9,3.8
2024-02-10 03:00:00,Anaheim Ducks,Edmonton Oilers,1,3.0,5.0,8,0,2.7,3.7
2024-02-14 00:00:00,Anaheim Ducks,Montréal Canadiens,0,0.0,5.0,3,0,2.7,3.6
2024-02-16 00:00:00,Anaheim Ducks,Ottawa Senators,0,5.0,1.0,2,0,2.6,3.6
2024-02-18 00:00:00,Anaheim Ducks,Toronto Maple Leafs,0,2.0,9.0,2,0,2.6,3.3
2024-02-19 17:30:00,Anaheim Ducks,Buffalo Sabres,0,4.0,3.0,1,1,2.8,4.0
2024-02-22 03:00:00,Anaheim Ducks,Columbus Blue Jackets,1,4.0,7.0,2,0,2.9,3.8
2024-02-25 03:30:00,Anaheim Ducks,Los Angeles Kings,0,2.0,3.0,3,0,3.1,4.0
2024-02-26 01:00:00,Anaheim Ducks,Nashville Predators,1,2.0,4.0,0,0,2.9,4.1
2024-03-01 03:30:00,Anaheim Ducks,San Jose Sharks,0,6.0,4.0,4,0,2.8,4.1
2024-03-02 03:00:00,Anaheim Ducks,New Jersey Devils,1,4.0,3.0,0,0,3.1,4.3
2024-03-04 01:00:00,Anaheim Ducks,Vancouver Canucks,1,1.0,2.0,1,1,3.2,4.4
2024-03-07 03:00:00,Anaheim Ducks,Ottawa Senators,1,2.0,1.0,3,0,3.0,4.1
2024-03-09 03:00:00,Anaheim Ducks,Dallas Stars,1,2.0,6.0,2,0,3.2,3.7
2024-03-11 00:00:00,Anaheim Ducks,New York Islanders,1,1.0,6.0,1,1,2.9,4.2
2024-03-13 00:30:00,Anaheim Ducks,Chicago Blackhawks,0,2.0,7.0,2,0,2.8,3.9
2024-03-15 00:00:00,Anaheim Ducks,Minnesota Wild,0,0.0,2.0,1,1,2.6,4.3
2024-03-16 00:00:00,Anaheim Ducks,Winnipeg Jets,0,0.0,6.0,1,1,2.2,3.8
2024-03-17 23:00:00,Anaheim Ducks,St. Louis Blues,0,2.0,4.0,1,1,2.0,4.1
2024-03-20 02:00:00,Anaheim Ducks,Minnesota Wild,1,0.0,4.0,2,0,2.0,4.1
2024-03-22 02:00:00,Anaheim Ducks,Chicago Blackhawks,1,4.0,0.0,2,0,1.4,4.1
2024-03-25 00:30:00,Anaheim Ducks,Tampa Bay Lightning,1,2.0,3.0,2,0,1.4,3.8
2024-03-27 02:00:00,Anaheim Ducks,Seattle Kraken,0,0.0,4.0,2,0,1.5,3.9
2024-03-29 02:00:00,Anaheim Ducks,Seattle Kraken,0,2.0,4.0,2,0,1.3,4.2
2024-03-30 20:00:00,Anaheim Ducks,Edmonton Oilers,0,1.0,6.0,1,1,1.3,4.0
2024-03-31 19:30:00,Anaheim Ducks,Vancouver Canucks,0,2.0,3.0,0,0,1.3,4.0
2024-04-03 01:00:00,Anaheim Ducks,Calgary Flames,0,5.0,3.0,2,0,1.3,3.6
2024-04-06 02:00:00,Anaheim Ducks,Seattle Kraken,1,1.0,3.0,3,0,1.8,3.7
2024-04-08 00:00:00,Anaheim Ducks,St. Louis Blues,1,5.0,6.0,1,1,1.9,3.4
2024-04-10 02:00:00,Anaheim Ducks,Los Angeles Kings,1,3.0,1.0,2,0,2.2,3.6
2024-04-13 02:00:00,Anaheim Ducks,Calgary Flames,1,3.0,6.0,3,0,2.5,3.3
2024-04-14 02:30:00,Anaheim Ducks,Los Angeles Kings,0,1.0,3.0,1,1,2.4,3.9
2024-04-19 02:00:00,Anaheim Ducks,Vegas Golden Knights,0,4.0,1.0,4,0,2.3,3.9
2022-09-25 00:00:00,Arizona Coyotes,St. Louis Blues,1,4.0,5.0,7,0,2.7,3.6
2022-09-25 21:00:00,Arizona Coyotes,Anaheim Ducks,1,2.0,3.0,0,0,,
2022-09-28 00:00:00,Arizona Coyotes,Dallas Stars,0,3.0,4.0,2,0,,
2022-09-29 02:00:00,Arizona Coyotes,Anaheim Ducks,0,1.0,3.0,1,1,3.0,4.0
2022-10-05 02:00:00,Arizona Coyotes,Vegas Golden Knights,0,3.0,4.0,6,0,2.5,3.75
2022-10-08 02:00:00,Arizona Coyotes,Vancouver Canucks,0,0.0,4.0,3,0,2.6,3.8
2022-10-09 00:00:00,Arizona Coyotes,Vegas Golden Knights,0,1.0,5.0,0,0,2.1666666666666665,3.8333333333333335
2022-10-13 23:00:00,Arizona Coyotes,Pittsburgh Penguins,0,2.0,6.0,4,0,2.0,4.0
2022-10-15 23:00:00,Arizona Coyotes,Boston Bruins,0,3.0,6.0,2,0,2.0,4.25
2022-10-17 23:00:00,Arizona Coyotes,Toronto Maple Leafs,0,4.0,2.0,2,0,2.111111111111111,4.444444444444445
2022-10-20 23:00:00,Arizona Coyotes,Montréal Canadiens,0,2.0,6.0,3,0,2.3,4.2
2022-10-22 20:00:00,Arizona Coyotes,Ottawa Senators,0,2.0,6.0,1,1,2.1,4.3
2022-10-25 23:00:00,Arizona Coyotes,Columbus Blue Jackets,0,6.0,3.0,3,0,2.1,4.6
2022-10-29 02:30:00,Arizona Coyotes,Winnipeg Jets,1,2.0,3.0,3,0,2.4,4.5
2022-10-31 00:00:00,Arizona Coyotes,New York Rangers,1,2.0,3.0,1,1,2.5,4.5
2022-11-02 02:00:00,Arizona Coyotes,Florida Panthers,1,3.0,1.0,2,0,2.4,4.4
2022-11-04 02:00:00,Arizona Coyotes,Dallas Stars,1,2.0,7.0,2,0,2.7,4.1
2022-11-05 23:00:00,Arizona Coyotes,Washington Capitals,0,3.0,2.0,1,1,2.8,4.3
2022-11-09 00:00:00,Arizona Coyotes,Buffalo Sabres,0,4.0,1.0,3,0,2.9,3.9
2022-11-11 00:30:00,Arizona Coyotes,New York Islanders,0,2.0,0.0,2,0,3.0,3.4
2022-11-13 00:00:00,Arizona Coyotes,New Jersey Devils,0,2.0,4.0,1,1,2.8,3.2
2022-11-14 00:00:00,Arizona Coyotes,New York Rangers,0,1.0,4.0,1,1,2.8,3.0
2022-11-18 03:00:00,Arizona Coyotes,Vegas Golden Knights,0,1.0,4.0,4,0,2.7,2.8
2022-11-22 01:00:00,Arizona Coyotes,Nashville Predators,0,3.0,4.0,3,0,2.2,2.9
2022-11-24 00:00:00,Arizona Coyotes,Carolina Hurricanes,0,4.0,0.0,1,1,2.3,3.0
2022-11-26 01:00:00,Arizona Coyotes,Detroit Red Wings,0,3.0,4.0,2,0,2.5,2.7
2022-11-27 19:00:00,Arizona Coyotes,Minnesota Wild,0,3.0,4.0,1,1,2.5,3.0
2022-12-02 03:30:00,Arizona Coyotes,Los Angeles Kings,0,3.0,5.0,4,0,2.6,2.7
2022-12-04 03:00:00,Arizona Coyotes,Vancouver Canucks,0,2.0,3.0,1,1,2.6,3.0
2022-12-06 02:00:00,Arizona Coyotes,Calgary Flames,0,2.0,3.0,1,1,2.4,3.2
2022-12-08 02:30:00,Arizona Coyotes,Edmonton Oilers,0,2.0,8.0,2,0,2.4,3.5
2022-12-10 02:30:00,Arizona Coyotes,Boston Bruins,1,4.0,3.0,2,0,2.4,3.9
2022-12-12 00:00:00,Arizona Coyotes,Philadelphia Flyers,1,5.0,4.0,1,1,2.7,3.8
2022-12-14 03:30:00,Arizona Coyotes,San Jose Sharks,0,2.0,3.0,2,0,3.1,3.8
2022-12-17 02:30:00,Arizona Coyotes,New York Islanders,1,5.0,4.0,2,0,3.0,3.7
2022-12-18 02:00:00,Arizona Coyotes,Buffalo Sabres,1,2.0,5.0,0,0,3.1,4.1
