team,player_id,period,player,game_home,game_away,date,shots,goals,assists,points,blocks,saves,toi_sec
Boston Bruins,8482634,2,Alex Steeves,Tampa Bay Lightning,Boston Bruins,2026-02-01,0.0,0.0,0.0758,0.0758,0.0,0.0,60.0
Boston Bruins,8482634,3,Alex Steeves,Tampa Bay Lightning,Boston Bruins,2026-02-01,0.0,0.0,0.0718,0.0718,0.0,0.0,60.0
Boston Bruins,8483489,1,Fraser Minten,Tampa Bay Lightning,Boston Bruins,2026-02-01,0.0,0.0,0.0642,0.0642,0.0,0.0,60.0
Boston Bruins,8483489,2,Fraser Minten,Tampa Bay Lightning,Boston Bruins,2026-02-01,0.0,0.0,0.0772,0.0772,0.0,0.0,60.0
Boston Bruins,8483489,3,Fraser Minten,Tampa Bay Lightning,Boston Bruins,2026-02-01,0.0,0.0,0.065,0.065,0.0,0.0,60.0
Tampa Bay Lightning,8474151,1,Ryan McDonagh,Tampa Bay Lightning,Boston Bruins,2026-02-01,0.0,0.0,0.061,0.061,0.0,0.0,60.0
Tampa Bay Lightning,8474151,2,Ryan McDonagh,Tampa Bay Lightning,Boston Bruins,2026-02-01,0.0,0.0,0.063,0.063,0.0,0.0,60.0
Tampa Bay Lightning,8474151,3,Ryan McDonagh,Tampa Bay Lightning,Boston Bruins,2026-02-01,0.0,0.0,0.0594,0.0594,0.0,0.0,60.0
Tampa Bay Lightning,8475167,1,Victor Hedman,Tampa Bay Lightning,Boston Bruins,2026-02-01,0.0,0.0,0.0642,0.0642,0.0,0.0,60.0
Tampa Bay Lightning,8475167,2,Victor Hedman,Tampa Bay Lightning,Boston Bruins,2026-02-01,0.0,0.0,0.0652,0.0652,0.0,0.0,60.0
Tampa Bay Lightning,8475167,3,Victor Hedman,Tampa Bay Lightning,Boston Bruins,2026-02-01,0.0,0.0,0.0628,0.0628,0.0,0.0,60.0
Tampa Bay Lightning,8476453,1,Nikita Kucherov,Tampa Bay Lightning,Boston Bruins,2026-02-01,0.0,0.0,0.0558,0.0558,0.0,0.0,60.0
Tampa Bay Lightning,8476453,2,Nikita Kucherov,Tampa Bay Lightning,Boston Bruins,2026-02-01,0.0,0.0,0.0646,0.0646,0.0,0.0,60.0
Tampa Bay Lightning,8476453,3,Nikita Kucherov,Tampa Bay Lightning,Boston Bruins,2026-02-01,0.0,0.0,0.0678,0.0678,0.0,0.0,60.0
Tampa Bay Lightning,8476826,1,Yanni Gourde,Tampa Bay Lightning,Boston Bruins,2026-02-01,0.0,0.0,0.0608,0.0608,0.0,0.0,60.0
Tampa Bay Lightning,8476826,2,Yanni Gourde,Tampa Bay Lightning,Boston Bruins,2026-02-01,0.0,0.0,0.0526,0.0526,0.0,0.0,60.0
Tampa Bay Lightning,8476826,3,Yanni Gourde,Tampa Bay Lightning,Boston Bruins,2026-02-01,0.0,0.0,0.0614,0.0614,0.0,0.0,60.0
Tampa Bay Lightning,8476826,4,Yanni Gourde,Tampa Bay Lightning,Boston Bruins,2026-02-01,0.0386,0.0044,0.0,0.0044,0.0,0.0,4.181625
Tampa Bay Lightning,8476878,1,Zemgus Girgensons,Tampa Bay Lightning,Boston Bruins,2026-02-01,1.302,0.1306,0.0488,0.1794,0.0,0.0,226.4854
Tampa Bay Lightning,8476878,2,Zemgus Girgensons,Tampa Bay Lightning,Boston Bruins,2026-02-01,1.3124,0.131,0.055,0.186,0.0,0.0,226.4776
